líon	lʲ iː n̪ˠ
foréigean	fˠ ɔ ɾˠ ˈeː ɟ ɪ nˠ
ochtó	ˈo x t̪ˠ oː
ceoil	c oː lʲ
seagal	ˈʃ a ɡ ə lˠ
cheatha	ˈç a h ə
fíniúnach	fʲ iː ˈnʲ uː n̪ˠ ə x
speireach	ˈsˠ p ʌ ɾˠ a x
giolla	ˈɟ ɪ l̪ˠ ə
feidhmeannach	ˈfʲ ə i mʲ ə n̪ˠ ə x
olla	ˈɔ l̪ˠ ə
ar	ɛ ɾʲ
gléasann	ˈɟ lʲ eː s ə n̪ˠ
feistigh	ˈfʲ ɛ ʃ tʲ ɪ ɟ
sciurdadh	ˈʃ c ɨ̞ ɾˠ d̪ u
dreas	dʲ ɾʲ a sˠ
gcapall	ˈɡ a pˠ ə l̪ˠ
ciotach	c ə ˈt̪ˠ a x
Shínigh	ˈh iː nʲ ɪ ɟ
scillinge	ˈʃ c ɪ l̠ʲ n̠ʲ ə
chúcha	ˈx uː x ə
chiliméadar	ç ɪ lʲ ə ˈmʲ eː d̪ˠ ə ɾˠ
síol	ʃ iː ə l̪ˠ
féasóg	fʲ iː a̯ ˈsˠ oː ɡ
duaidh	ˈd̪ˠ u ə ɟ
aiféala	ˈa fʲ eː lˠ ə
foighid	fˠ a i dʲ
ollmhór	ˈə u l̪ˠ ˌvˠ oː ɾˠ
Cháit	x ɑː tʲ
spréifidh	ˈsˠ pʲ ɾʲ eː ç i
gall	ɡ ɑː l̪ˠ
morg	ˈmˠ ɔ ɾˠ ə ɡ
fearthainn	ˈfʲ a ɾˠ h ə ɲ
búistéara	ˈbˠ uː ʃ tʲ eː ɾˠ ə
fuath	fˠ u ə
seada	ˈʃ a d̪ˠ ə
draig	dˠ ɾˠ a ɟ
díbhse	ˈdʲ iː vʲ ʃ ə
sál	sˠ ɑː l̪ˠ
comhluadar	k oː ˈl̪ˠ u ə d̪ˠ ə ɾˠ
sháigh	h ɑː ɟ
dreolán	dʲ ɾʲ oː ˈl̪ˠ ɑː n̪ˠ
rialacha	ˈɾˠ i ə l̪ˠ ə x ə
cruaim	k ɾˠ u ə mʲ
úlla	ˈuː l̪ˠ ə
scréach	ʃ c ɾʲ eː x
oideachas	ˈɛ dʲ ə x ə sˠ
míleach	ˈmʲ iː lʲ ə x
thoirt	h ɔ ɾˠ tʲ
tuirseach	t̪ˠ ə ɾˠ ˈʃ a x
féachaint	ˈfʲ i a x ɪ nʲ tʲ
aoibhneas	ˈiː vʲ nʲ ə sˠ
daidí	ˈd̪ˠ a dʲ iː
tánaiste	ˈt̪ˠ ɑː n̪ˠ ə ʃ tʲ ə
t'	t̪ˠ
múinid	ˈmˠ uː nʲ ə dʲ
baile	ˈbˠ a lʲ ə
seánra	ˈʃ ɑː n̪ˠ ɾˠ ə
amaid	ˈa mˠ ə dʲ
beacha	ˈbʲ a x ə
aithghiorra	ˈa i ç ə ɾˠ ə
faoisean	ˈfˠ iː ʃ ə nˠ
trosc	t̪ˠ ɾˠ ɔ sˠ k
coscartha	ˈk a sˠ k ə ɾˠ ə
cabhrach	ˈk ə u ɾˠ ə x
mhúchadh	ˈvˠ uː x ə
canna	ˈk a n̪ˠ ə
duit	d̪ˠ ɪ tʲ
leás	l̠ʲ ɑː sˠ
lice	ˈl̠ʲ ɪ c ɪ
ainbhios	ˈæ n ə ʃ
bindealán	bʲ i n̠ʲ dʲ ə ˈl̪ˠ ɑː n̪ˠ
ndearnas	ˈn̠ʲ aː ɾˠ n̪ˠ ə sˠ
troimide	ˈt̪ˠ ɾˠ ɪ mʲ ə dʲ ə
fitear	ˈfʲ ɪ tʲ ə ɾˠ
ndara	ˈn̪ˠ ɑ ɾˠ ə
tinneas	ˈtʲ ɪ nʲ ə sˠ
Laidin	ˈl̪ˠ a dʲ ɪ nʲ
rís	ɾˠ iː ʃ
roinn	ɾˠ a i ɲ
ngaoith	ŋ iː h
bradaigh	ˈbˠ ɾˠ ɑ d̪ˠ ɪ ɟ
orm	ˈɔ ɾˠ ə mˠ
gasúir	ɡ ɑ ˈsˠ uː ɾʲ
caifé	ˈk a fʲ eː
chuala	ˈx u ə l̪ˠ ə
míreanna	ˈmʲ iː ɾʲ ə n̪ˠ ə
breáichte	ˈbʲ ɾʲ aː x tʲ ə
deiseanna	ˈdʲ ɛ ʃ ə n̪ˠ ə
anas	ˈa nˠ ə sˠ
cnuic	k n̪ˠ ɪ c
arm	ˈɑ ɾˠ ə mˠ
bambairne	ˈbˠ ɑ u mˠ bˠ ə ɾˠ nʲ ə
gloine	ˈɡ lˠ ɪ nʲ ə
mbuailte	ˈmˠ u ə l̠ʲ tʲ ə
charad	ˈx a ɾˠ ə d̪ˠ
sorcha	ˈsˠ ɔ ɾˠ ə x ə
Sadhbh	ˈsˠ ə i̯ vˠ
uaiféalta	ˈu ə fʲ iː a̯ l̪ˠ t̪ˠ ə
Éireannach	ˈeː ɾʲ ə n̪ˠ ə x
shlí	ˈh lʲ iː
meán	mʲ aː nˠ
oisín	ə ˈʃ iː nʲ
ealaíonta	ˈa lˠ i n̪ˠ t̪ˠ ə
hÍ	h iː
spriog	sˠ pʲ ɾʲ ʊ ɡ
troscadh	ˈt̪ˠ ɾˠ ʌ sˠ k ə
coinscleo	ˈk ɪ n̠ʲ ʃ c lʲ ɔ
salú	sˠ ə ˈl̪ˠ uː
marcach	ˈmˠ a ɾˠ k ə x
tuismigh	ˈt̪ˠ ɪ ʃ m ɪ ɟ
mothaíonn	ˈm uː . iː n̪ˠ
toirt	t̪ˠ ɔ ɾˠ tʲ
dara	ˈd̪ˠ ɑ ɾˠ ə
leáim	ˈl̠ʲ eː j ə mˠ
deora	ˈdʲ oː ɾˠ ə
éigiall	ˈeː ɟ i ə l̪ˠ
mheáití	vʲ ɑː ˈtʲ iː
tlig	tʲ lʲ ɪ ɟ
fusa	ˈfˠ ʊ sˠ ə
scanrú	sˠ k a u n̪ˠ ˈɾˠ uː
gaibh	ɡ a vʲ
dóimid	ˈd̪ˠ oː mʲ ə dʲ
taifead	ˈt̪ˠ a fʲ ə d̪ˠ
géarleanúint	ˈɟ eː ɾˠ lʲ a nˠ ũː n̠ʲ tʲ
saile	ˈs a lʲ ə
crúigh	k ɾˠ uː ɟ
bhrata	ˈvˠ ɾˠ a t̪ˠ ə
siúcra	ˈʃ uː k ɾˠ ə
bruis	bˠ ɾˠ ɪ ʃ
baisteadh	ˈbˠ a ʃ tʲ ə
tuathal	ˈt̪ˠ u ə h ə l̪ˠ
asainne	ˈa sˠ ə n̠ʲ ə
baintreach	ˈbˠ a nʲ tʲ ɾʲ ə x
máthair	ˈmˠ ɑː h ə ɾʲ
céas	c i a̯ sˠ
cnó	k n̪ˠ oː
thairg	ˈh a ɾʲ ɪ ɟ
diúl	dʲ uː lˠ
urchóid	ʊ ɾˠ ə ˈx oː dʲ
lóistín	l̪ˠ oː ʃ ˈtʲ iː nʲ
torc	t̪ˠ ɔ ɾˠ k
dínn	dʲ iː n̠ʲ
do	d̪ˠ ɔ
Árannach	ˈɑː ɾˠ ə n̪ˠ ə x
dtrí	dʲ ɾʲ iː
fachta	ˈfˠ ɑ x t̪ˠ ə
málóid	mˠ ɑː ˈl̪ˠ oː dʲ
uaire	ˈu ə ɾʲ ə
aice	ˈa c ɪ
dearbhaím	ˈdʲ a ɾˠ ə w i m
ancaire	ˈɑ ŋ k ə ɾʲ ə
drochbhéasach	d̪ˠ ɾ ɔ x ˈvʲ eː sˠ ə x
puimcín	pˠ ɪ mʲ ˈc iː n
giodalach	ˈɟ ɨ̞ d̪ˠ ə lˠ a x
comrádaithe	ˈk ʊ mˠ ɾˠ ɑː d̪ˠ iː
ait	a tʲ
cur	k ʊ ɾˠ
ceannas	ˈc a n̪ˠ ə sˠ
log	l̪ˠ ɔ ɡ
aimhleas	ˈiː lʲ ə sˠ
mian	mʲ i ə n̪ˠ
neart	nʲ a ɾˠ t̪ˠ
anró	ˈaː nˠ ɾˠ ɔ
chucusan	ˈh ɞ k ə pˠ sˠ ə n
bog	bˠ ɔ ɡ
mháthair	ˈvˠ ɑː h ə ɾʲ
pianfaidh	ˈpʲ i ə n h ə
téarma	ˈtʲ eː ɾˠ mˠ ə
leithigh	ˈl̠ʲ ɛ h i
riarann	ˈɾˠ i ə ɾˠ ə n̪ˠ
pointe	ˈpˠ iː n̠ʲ tʲ ə
meidhir	ˈmʲ ə i rʲ
gnótha	ˈɡ ɾˠ ẽː h ə
Mhuire	ˈvˠ ɪ ɾʲ ə
athuair	ˈa h u ə ɾʲ
airc	a ɾʲ c
dhíom	j iː mˠ
geimhrí	ɟ iː ˈɾʲ iː
saint	sˠ ɪ n̠ʲ tʲ
cheird	ç ə i ɾˠ dʲ
oiriúint	ə ˈɾʲ uː nʲ tʲ
cairdiúil	k ɑː ɾˠ ˈdʲ uː lʲ
cuiscreach	ˈk ɪ ʃ c ɾʲ ə x
compordach	k uː mˠ ˈpˠ oː ɾˠ d̪ˠ ə x
láthair	ˈl̪ˠ ɑː h ə ɾʲ
pionós	ˈpʲ ɨ̞ n u s
cnáib	k nˠ ɑː bʲ
sócúl	sˠ oː ˈk uː l̪ˠ
uaigneas	ˈu ə ɟ ɪ nʲ ə sˠ
loistín	l̪ˠ ɞ ʃ ˈtʲ iː nʲ
bráthair	ˈbˠ ɾˠ ɑː h ə ɾʲ
griosálfaidh	ˈɟ ɾʲ ɪ sˠ a lˠ i
billí	ˈbʲ ɪ lʲ iː
thiocfainn	h ʊ k ə n̠ʲ
doirtear	ˈd̪ˠ ɨ̞ ɾˠ tʲ ə ɾˠ
freagair	ˈfʲ ɾʲ a ɡ ə ɾʲ
Nollag	ˈn̪ˠ ɔ l̪ˠ ə ɡ
néalta	ˈn̠ʲ eː l̪ˠ t̪ˠ i
innseann	ˈiː nʲ ʃ ə n̪ˠ
straiméad	ˈsˠ t̪ˠ ɾˠ aː mʲ æ dʲ
innealtóir	ˈi nʲ ə lˠ t̪ˠ oː ɾʲ
thoiligh	ˈh ɞ lʲ ɪ ɟ
campa	ˈk a mˠ pˠ ə
tuga	ˈt̪ˠ ʊ ɡ ə
íobairt	ˈiː bˠ ə ɾˠ tʲ
éanacha	ˈeː n̪ˠ ə x iː
breathnaigh	ˈbʲ ɾʲ a n̪ˠ ə
dearcán	ˈdʲ a ɾˠ k a nˠ
uaigneach	ˈu ə ɟ ɪ nʲ ə x
scóp	sˠ k oː pˠ
díolann	ˈdʲ iː l̪ˠ ə n̪ˠ
tormas	ˈt̪ˠ ʌ ɾˠ ə mˠ ə sˠ
coisric	ˈk ɛ ʃ ɾʲ ɪ c
ónarbh	ˈoː nˠ ə ɾˠ vˠ
dortha	ˈd̪ˠ ʌ ɾˠ h ə
Ceanada	ˈc a nˠ ə d̪ˠ ə
uirrim	ˈɪ ɾʲ ə mʲ
cipín	c ɪ ˈpʲ iː nʲ
mímhúinte	ˈmʲ iː ˌw uː n̠ʲ tʲ ə
cheoil	ç oː lʲ
diaspóra	dʲ i ə ˈsˠ pˠ oː ɾˠ ə
eol	oː lˠ
oifig	ˈɛ fʲ ɪ ɟ
aidmheáil	ˈa dʲ vʲ æ lʲ
círe	ˈc iː ɾʲ ə
cúlú	k uː ˈl̪ˠ uː
cosc	k ɔ sˠ k
Béarla	ˈbʲ iː a̯ ɾˠ l̪ˠ ə
ghob	ɣ ɔ bˠ
gcaoirigh	ˈɡ iː ɾʲ ɪ ɟ
gaothrán	ɡ iː ɾ̥ˠ ɑː n̪ˠ
díomá	dʲ iː mˠ ˈvˠ ɑː
smíste	ˈsˠ mʲ iː ʃ tʲ ə
lean	lʲ a n̪ˠ
finn	fʲ iː ɲ
imní	ɪ mʲ ə ˈnʲ iː
chairde	ˈx ɑː ɾˠ dʲ ə
sráide	sˠ ɾˠ aː dʲ ə
íoth	iː
comhdheas	ˈk ũː j a sˠ
againne	ˈa ɡ ə n̠ʲ ə
samhlú	ˈsˠ a u l̪ˠ uː
ghiob	j ɪ bˠ
stadta	ˈsˠ t̪ˠ a t̪ˠ ə
easbhaidh	ˈa sˠ w i
tuile	ˈt̪ˠ ɪ lʲ ə
diúlfaidh	ˈdʲ uː lˠ h i
buíochas	bˠ eː x ə sˠ
ll	l̪ˠ
slí	ˈʃ lʲ iː
dainséar	d̪ˠ a i nʲ ˈʃ eː ɾˠ
gharbh	ˈɣ ɑ ɾˠ ə vˠ
cúthail	ˈk uː h ə lʲ
phis	fʲ ɪ ʃ
ola	ˈɔ lˠ ə
díthairbheach	ˈdʲ iː ˌh æ ɾʲ ə vʲ ə x
mall	mˠ ɑ u l̪ˠ
riabhóg	ɾˠ i ə ˈvˠ oː ɡ
éadálach	i a̯ ˈd̪ˠ ɑː l̪ˠ ə x
buimpéis	bˠ iː mʲ ˈpʲ eː ʃ
fhágadh	ˈɑː ɡ ə x
caolas	ˈk eː l̪ˠ ə sˠ
iarracht	ˈi ə ɾˠ ə x t̪ˠ
goilliúint	ˈɡ ɪ l̠ʲ uː n̠ʲ tʲ
clairnéid	k lˠ ɑː ɾˠ ˈnʲ eː dʲ
raon	ˈɾˠ eː n̪ˠ
mbreathnaíonn	ˈmʲ ɾʲ a n̪ˠ iː n̪ˠ
leithid	ˈl̠ʲ ɛ h ə dʲ
buntús	ˈbˠ u nˠ . ˈtˠ uː sˠ
gcósta	ˈɡ oː sˠ t̪ˠ ə
agaibhse	ˈa ɡ ə vʲ ʃ ə
chiseanna	ˈç ɪ ʃ ə n̪ˠ ə
éalóigh	ˈeː lˠ ɔ j
Caoimhe	ˈk iː vʲ ə
pluma	ˈpˠ lˠ ʊ mˠ ə
fagháilt	fˠ ɑː lʲ tʲ
naofa	ˈn̪ˠ eː fˠ ə
phlainc	fˠ lˠ a ɲ c
caiseal	ˈk a ʃ ə l̪ˠ
ionnas	ˈɯ n̪ˠ ə sˠ
deiseal	ˈdʲ ɛ ʃ ə lˠ
phonc	fˠ ʊ ŋ k
gaol	ɡ eː l̪ˠ
toinne	ˈt̪ˠ ɪ n̠ʲ ə
cuireann	ˈk ɪ ɾʲ ə n̪ˠ
snaoisín	sˠ n̪ˠ iː ˈʃ iː nʲ
bhíodh	vʲ iː x
Poncán	pˠ ə ŋ ˈk ɑː n̪ˠ
broim	bˠ ɾˠ a i mʲ
fí	fʲ iː
thig	h ɪ ɟ
aincheart	ˈɑ u n̪ˠ ˌç a ɾˠ t̪ˠ
abhaill	ˈə u w ə l̠ʲ
rámhaíocht	ɾˠ ɑ̃ː ˈvˠ i ə x t̪ˠ
as	a sˠ
thá	h ɑː
feirm	ˈfʲ ɛ ɾʲ ə mʲ
mac	mˠ ɑ k
laethanta	ˈl̪ˠ eː h ə n̪ˠ t̪ˠ ə
ruaig	ɾˠ u ə ɟ
barrach	ˈbˠ a ɾˠ ə x
mairteoil	ˈmˠ a ɾʲ tʲ oː lʲ
d'aithin	ˈd̪ˠ a h ə nʲ
shaoil	h iː lʲ
coill	k iː lʲ
soipín	sˠ ə ˈpʲ iː nʲ
fhiáin	i ə nʲ
briosca	ˈbʲ ɾʲ ɪ sˠ k ə
moch	mˠ ʊ x
mhaígh	w ĩː vʲ
Béarlach	ˈbʲ eː ɾˠ l̪ˠ ə x
gceann	ɟ a u n̪ˠ
díonmhar	ˈdʲ i ə nˠ u ɾˠ
fútsa	ˈfˠ uː t̪ˠ sˠ ə
geallta	ˈɟ a u l̪ˠ t̪ˠ ə
spreagadh	ˈsˠ pʲ ɾʲ a ɡ ə
cráite	ˈk ɾˠ ɑː tʲ ə
aighneas	ˈa i . nʲ ə sˠ
beadh	bʲ ɛ x
ciotrúnta	c ɨ̞ t̪ˠ ə ˈɾˠ uː n̪ˠ t̪ˠ ə
codlatach	ˈk ɔ l̪ˠ ə t̪ˠ ə x
Cáisc	k ɑː ʃ c
har	h a ɾˠ
ball	bˠ ɑ u l̪ˠ
cruth	k ɾˠ ɞ h
gheobhadh	ˈj a u ə x
suaimhneas	ˈsˠ u ə nʲ ə sˠ
scuaid	sˠ k u ə dʲ
ceilpe	ˈc ɛ lʲ pʲ ə
oileann	ˈɛ lʲ ə n̪ˠ
thuama	ˈh u ə mˠ ə
cimileáil	c ɪ mʲ ə ˈlʲ ɑː lʲ
dá	d̪ˠ ɑː
ceannasach	ˈc a n̪ˠ ə sˠ ə x
fuaire	ˈfˠ u ə ɾʲ ə
scamall	ˈsˠ k a mˠ ə l̪ˠ
fuinneog	fʲ ɪ ˈɲ uː ɡ
chuaigh	x u ə
éilítear	ˈeː lʲ iː ɾʲ
díobhálach	dʲ iː ˈvˠ ɑː l̪ˠ ə x
fria	fˠ ɾˠ eː
ísligh	ˈiː ʃ l̠ʲ i
iomadúil	ʊ mˠ ə ˈd̪ˠ uː lʲ
tugann	ˈtˠ ʊ ɡ ə n̪ˠ
beirim	ˈbʲ ɛ ɾʲ ə mʲ
badhbh	bˠ ə i vˠ
binn	bʲ a i ɲ
Aoife	ˈiː fʲ ə
ór	oː ɾˠ
caismirt	ˈk æ ʃ mʲ ə ɾˠ tʲ
taom	t̪ˠ eː mˠ
seans	ʃ a n̪ˠ sˠ
agat	ˈa ɡ ə t̪ˠ
ríogach	ˈɾˠ iː ɡ ə x
bas	bˠ a sˠ
Vín	vʲ iː nʲ
strapaire	ˈsˠ t̪ˠ ɾˠ ɑ pˠ ə ɾʲ ə
iall	i ə l̪ˠ
bara	ˈbˠ a ɾˠ ə
cneasta	ˈc nʲ a sˠ t̪ˠ ə
meilfidh	ˈmʲ ɛ lʲ h ə
gcuraigh	ˈɡ ʊ ɾˠ ɪ ɟ
fuacht	fˠ u ə x t̪ˠ
nglacfaidh	ˈŋ lˠ a k ə
cealgaire	ˈc a lˠ ə ɡ ə ɾʲ ə
abhna	ˈoː n̪ˠ ə
beannaithe	ˈbʲ æ n̪ˠ iː
acmhainn	ˈa x vˠ ə n̠ʲ
aonbheannach	ˈeː nˠ . ˈvʲ a . nˠ ə x
tiocfad	ˈtʲ ʊ k ə d̪ˠ
achadh	ˈa x ə
dhéanfá	ˈj iː n ɑː
dúirt	d̪ˠ uː ɾʲ tʲ
mogall	ˈmˠ ɔ ɡ ə l̪ˠ
dalba	ˈd̪ˠ a lˠ ə bˠ ə
scoile	ˈsˠ k ɞ lʲ ə
gaoithe	ˈɡ iː h ə
fód	fˠ oː d̪ˠ
céalacan	ˈc i ə l̪ˠ ə n̪ˠ i
scilling	ˈʃ c ɪ lʲ ɪ ɲ
shráid	h ɾˠ ɑː dʲ
geanntracha	ˈɟ ɑː n̪ˠ t̪ˠ ɾˠ ə x iː
oileáin	ə ˈlʲ ɑː nʲ
seift	ʃ ɛ fʲ tʲ
séad	ʃ iː a̯ d̪ˠ
di	dʲ ɪ
abhras	ˈə u ɾˠ ə sˠ
bás	bˠ ɑː sˠ
níonn	n̠ʲ iː n̪ˠ
lúbaire	ˈl̪ˠ uː bˠ ə ɾʲ ə
cá	k ɑː
míol	mʲ iː l̪ˠ
Gearmáinis	ɟ a ɾˠ ə ˈmˠ ɑː nʲ ɪ ʃ
goideann	ˈɡ ɛ dʲ ə n̪ˠ
broinn	bˠ ɾˠ iː n̠ʲ
ceirbreach	ˈc ɛ ɾʲ ə bʲ ɾʲ ə x
tosnaigh	ˈt̪ˠ ɔ sˠ ə n̪ˠ ɪ ɟ
blátha	ˈbˠ lˠ aː h ə
rógaire	ˈɾˠ oː ɡ ə ɾʲ ə
Aoibhe	ˈiː vʲ ə
cana	ˈk a nˠ ə
leanbhín	lʲ a n̪ˠ ə ˈvʲ iː nʲ
déanta	ˈdʲ eː n̪ˠ t̪ˠ ə
damáiste	d̪ˠ ə ˈmˠ ɑː ʃ tʲ ə
mbeas	mʲ ɛ ɪ sˠ
bhodhraigh	ˈw oː ɾˠ ə
bochtaineacht	ˈbˠ ɔ x t̪ˠ ə nʲ ə x t̪ˠ
cuisliméara	ˈk ɪ ʃ lʲ ə mʲ eː ɾˠ ə
scannán	sˠ k ə ˈn̪ˠ aː n̪ˠ
snaga	ˈsˠ n̪ˠ a ɡ ə
ndéanfainn	ˈn̠ʲ aː n h ə n̠ʲ
chloisfeadh	ˈx lˠ ɔ ʃ ə tʲ
meáim	ˈmʲ ɑː mʲ
éadtualaing	ˈeː d̪ˠ ɔ l ə n
soc	sˠ ɔ k
spreagtha	ˈsˠ pʲ rʲ a k ə
ciardhubh	ˈc i ə ɾˠ ɣˠ ʊ vˠ
cúil	k uː lʲ
h	h
mílte	ˈmʲ iː l̠ʲ tʲ ə
dath	d̪ˠ a h
síolraigh	ˈʃ iː l̪ˠ ɾˠ ɪ ɟ
méadaigh	ˈmʲ eː d̪ˠ ɪ ɟ
giúistís	ˈɟ uː ʃ tʲ i ʃ
breithimh	ˈbʲ ɾʲ ɛ h ə vʲ
iománaíocht	ə ˈmˠ ɑː n̪ˠ i ə x t̪ˠ
chos	x ɔ sˠ
cuntar	ˈk uː n̪ˠ t̪ˠ ə ɾˠ
rún	ɾˠ uː n̪ˠ
briseann	ˈbʲ ɾʲ ɪ ʃ ə n̪ˠ
dúiseacht	ˈd̪ˠ uː ʃ ə x t̪ˠ
amhlaidh	ˈɑ̃ ũ l̪ˠ ɪ ɟ
sméar	sˠ mʲ i a̯ ɾˠ
draighean	ˈd̪ˠ ɾˠ a i ə n̪ˠ
gaosán	ɡ eː ˈsˠ ɑː n̪ˠ
péiste	ˈpʲ eː ʃ tʲ ə
eascaine	ˈa sˠ k ə nʲ ə
shagart	ˈh a ɡ ə ɾˠ t̪ˠ
bolraíoch	ˈbˠ ɔ lˠ ɾˠ i a x
bhfeiceanna	ˈvʲ ɛ c ə n̪ˠ ə
caoimhe	k iː
strainséir	sˠ t̪ˠ ɾˠ ɑː nʲ ˈʃ eː ɾʲ
bréige	ˈbʲ ɾʲ eː ɟ ɪ
Ulaidh	ˈʊ l̪ˠ ɪ ɟ
cóiriú	ˈk oː ɾʲ uː
ceintiméadar	c ɛ nʲ tʲ ə ˈmʲ eː d̪ˠ ə ɾˠ
thusa	ˈh ʊ sˠ ə
Rosa	ˈɾˠ ɔ sˠ ə
fóirsteanach	ˈfˠ ɔː ɾˠ sˠ tʲ ə nʲ a x
sú	sˠ uː
faighigí	ˈfˠ ɑː h iː
chéad	ç eː d̪ˠ
paragraf	ˈpˠ a ɾˠ ə ɡ ɾˠ a fˠ
ciardhuibhe	ˈc i ə ɾˠ ɣ ɪ vʲ ə
dtreo	dʲ ɾʲ oː
clamhsán	ˈk lˠ a u sˠ ɑː nˠ
gaineamh	ˈɡ ɑ nʲ ə vˠ
mús	mˠ uː sˠ
dúlamán	d̪ˠ uː l̪ˠ ə ˈmˠ ɑː n̪ˠ
beireadh	ˈbʲ ɛ ɾʲ ə x
tháthaigh	h aː j
d'fhreagair	ˈdʲ ɾʲ a ɡ ə ɾʲ
clogaide	ˈk lˠ ɔ ɡ ə dʲ ə
d'ullmhaigh	ˈd̪ˠ ʊ l̪ˠ ə vˠ ɪ ɟ
nochtacht	ˈn ɔ x t̪ˠ ə x t̪ˠ
aosta	ˈeː sˠ t̪ˠ ə
barúlach	bˠ a ˈɾˠ uː l̪ˠ ə x
thuig	h ɪ ɟ
bearraim	ˈbʲ aː ɾˠ ə mʲ
easpaig	ˈa sˠ pˠ ɪ ɟ
stá	sˠ t̪ˠ ɑː
sciathán	sˠ c i ə ˈh ɑ̃ː n
cuach	k u ə x
bainis	ˈb a nʲ ə ʃ
grád	ɡ ɾˠ ɑː d̪ˠ
péin	pʲ eː nʲ
gcuan	ɡ u ə nˠ
falsa	ˈfˠ a l̪ˠ sˠ ə
síobadh	ˈʃ iː bˠ ə
gnóthaigh	ɡ ɾˠ uː
cáis	k ɑː ʃ
ciseán	c ɪ ˈʃ aː n̪ˠ
gaoth	ɡ eː h
téaltó	tʲ i a̯ l̪ˠ ˈt̪ˠ oː
haill	h ɑː l̠ʲ
neamhshuimiúil	ˈn̠ʲ ã u h ɨ̞ mʲ u lʲ
ea	a
gnách	ɡ n̪ˠ ɑː x
fhada	ˈɑ d̪ˠ ə
bóthar	ˈbˠ oː h ə ɾˠ
bhris	vʲ ɾʲ ɪ ʃ
Nollaigí	ˈn̪ˠ ɔ l̪ˠ ə ɟ iː
drong	d̪ˠ ɾˠ ɔ ŋ
chráigh	x ɾˠ aː ɟ
clú	k l̪ˠ uː
téanam	ˈtʲ i a̯ n̪ˠ ə mˠ
dealbh	ˈdʲ a lˠ ə vˠ
neamartach	ˈn̠ʲ a mˠ ɔ ɾˠ t̪ˠ a x
scaid	sˠ k æ dʲ
lonta	ˈl̪ˠ ʊ n̪ˠ t̪ˠ ə
corr	k ə u ɾˠ
réimeanna	ˈɾˠ eː mʲ ə n̪ˠ ə
chnuic	x n̪ˠ ɪ c
nach	n̪ˠ a x
ghreadadh	ˈj ɾʲ a d̪ˠ u
gheallta	ˈj a u l̪ˠ t̪ˠ ə
leoraí	ˈlʲ ɔ ɾˠ iː
léan	lʲ iː a̯ n̪ˠ
ch	x
huile	ˈh ɪ lʲ ə
faill	fˠ ɑ i lʲ
naoscainn	ˈn̪ˠ iː sˠ k ə n̠ʲ
rialtais	ˈɾˠ i ə l̪ˠ t̪ˠ ə ʃ
cuarc	k u ə ɾˠ k
comhar	k õː ɾˠ
glaoigh	ɡ l̪ˠ iː
péacán	pʲ eː ˈk ɑː n̪ˠ
sloinne	ˈsˠ l̪ˠ ɪ n̠ʲ ə
faighte	ˈfˠ ɑ tʲ ə
cleasaí	c lʲ a ˈsˠ iː
Mhí	vʲ iː
giosta	ˈɟ ɪ sˠ t̪ˠ ə
chíd	ˈç iː dʲ
caipín	k ɑ ˈpʲ iː nʲ
chás	x ɑː sˠ
doirse	ˈd̪ˠ oː ɾˠ ʃ ə
trácht	t̪ˠ ɾˠ ɑː x t̪ˠ
olca	ˈɔ lˠ k ə
sileadh	ˈʃ ɪ lʲ ə
síoraí	ʃ iː ˈɾˠ iː
ghnách	ɣ n̪ˠ ɑː x
paidir	ˈpˠ ɑ dʲ ə ɾʲ
geala	ˈɟ a lˠ ə
tréin	tʲ ɾʲ eː nʲ
loirgim	ˈl̪ˠ ɞ ɾʲ ɪ ɟ ə mʲ
óige	ˈoː ɟ ɪ
chontráilte	ˈx uː n̪ˠ t̪ˠ ɾˠ ɑː l̠ʲ tʲ ə
triail	tʲ ɾʲ i ə lʲ
cheo	ç oː
cnámh	k n̪ˠ ɑː vˠ
romhat	ɾˠ uː t̪ˠ
ngeimhreadh	ˈɲ iː ɾʲ ə
thaiscigh	t̪ˠ æ ʃ c ɪ
dhéag	j eː ɡ
oiltear	ˈɛ lʲ tʲ ə ɾˠ
beidh	bʲ ɛ ɟ
áiféis	ɑː ˈfʲ eː ʃ
áiteacha	ˈɑː tʲ ə x iː
thuigfeadh	ˈh ɪ c ə x
dh'	ɣ
bhall	vˠ ɑ u l̪ˠ
liopard	ˈlʲ i . pˠ ə ɾˠ dˠ
aoibhinn	ˈiː vʲ ɪ ɲ
iarrfaidh	ˈi ə ɾˠ h ə
Chian	ç i ə nˠ
nd	n̪ˠ
taoisigh	ˈt̪ˠ iː ʃ ɪ ɟ
ceannach	ˈc a n̪ˠ ə x
rath	ɾˠ ɑ h
cuma	ˈk ʊ mˠ ə
tabharfad	ˈt̪ˠ uː ɾˠ h ə d̪ˠ
trasinscneach	t̪ˠ ɾˠ a sˠ ˈɪ n̠ʲ ʃ c nʲ ə x
pána	ˈpˠ ɑː n̪ˠ ə
coll	k a l̪ˠ
comhchruinniú	ˈk ũː x ɾˠ ɨ̞ n̠ʲ u
prásach	ˈpˠ ɾˠ ɑː sˠ ə x
bac	bˠ ɑ k
colm	ˈk ɔ l̪ˠ ə mˠ
matrarcach	ˈmˠ ɑ t̪ˠ ɾˠ ə ɾˠ k ə x
dumha	ˈd̪ˠ ũː . i
