نېښو	n ə ʂ o
دغه	d̪ ə ɣ a
دلته	d̪ ə l t̪ a
دلې	d̪ ə l e
دوبی	d̪ o b a i
دود	d̪ o d̪
دومره	d̪ u m r a
دونه	d̪ o n a
دوه	d w a
دوولس	d w o l a s
دويم	d̪ w a i m
دوی	d̪ o ɪ
ديارلس	d̪ j ɑ r l ə s
دپاره	d ə p ɑ r a
دړ	d̪ ə ɺ ˞
دړد	d̪ ə ɺ ˞ d̪
دی	d̪ a i
دې	d̪ e
دېرش	d̪ e r ʃ
دېو	d̪ e o
دېګ	d̪ e ɡ
دېګلی	d̪ e ɡ l a ɪ
ذکر	z ɪ k ə r
را	r ɑ
راتلل	r ɑ t̪ l ə l
راسې	r ɑ s e
راهیسې	r ɑ h i s e
راوستل	r ɑ w ə s t̪ ə l
راولم	r ɑ w a l ə m
راوړل	r ɑ w ɽ ə l
راکول	r ɑ k a w ə l
رحم	r a h ə m
رسنۍ	r ə s ə n a i
رنډۍ	r ə n ɖ ə i̯
رنګ	r a ŋ ɡ
روسيه	r u s j a
روغتانۀ	r o ɣ t̪ ɑ n ə
روغتون	r o ɣ t̪ u n
روغتيا	r o ɣ t j ɑ
رول	r o l
رڼا	r u ɳ ɑ
رېبز	r e b ə d͡ʒ
زامبه	z ɑ m b a
زاګرېب	z ɑ ɡ r e b
زاڼه	z ɑ ɳ a
زباتل	z b ɑ t̪ ə l
زبرځواک	z ə b ə r d͡z w ɑ k
زبرګ	z b ə r ɡ
زده	z d̪ a
زر	z a r
زرغون	z ə r ɣ u n
زغره	z ɣ a r a
زغمل	z ɣ a m ə l
زلیخا	z ʊ l a i x a
زما	z m ɑ
زمری	z m a r a ɪ
زمرۍ	z m a r ə i
زمونږ	z ə m u n ɡ
زموږ	e m i ʒ
زنه	z ə n a
زه	z ə
زهٔ	z ə
زوی	z o ɪ
زړه	z ɻ ə
زړهور	z ɽ a w a r
زڼکی	z ɘ ɳ k ɑ i
زېږېدل	z e ɡ e d ə l
سا	s ɑ
ساپټ	s ɑ p a ʈ
ساړه	s ɑ ɺ̢ ə
ستا	s t̪ ɑ
ستاسو	s t̪ ɑ s o
ستاسې	s t ɑ s e
ستايل	s t̪ ɑ j ə l
ستر	s t ə r
سترګه	s t̪ ə r ɡ a
ستورڅک	s t o r t͡s a k
ستوری	s t̪ o r a ɪ
سخی	s x a ɪ
سره	s ə r a
سرېښ	s a r e x
سل	s ə l
سم	s ə m
سمندر	s ə m ə n d̪ ə r
سنډا	s a n ɖ ɑ
سور	s u r
سورلنډی	s u r l ə n ɖ a i
سوماليا	s o m ɑ l j ɑ
سومر	s u m ə r
سوټک	s o ʈ a k
سوړ	s o ɻ
سيلۍ	s i l ə i
سيمه	s i m a
سيند	s i n̪ d̪
سټک	s a ʈ a k
سپره	s p ə r a
سپنج	s p ə ŋ d͡ʒ
سپوږمۍ	s p o ɡ m ə i
سپين	s p i n
سپک	ʃ p a k
سپی	s p a ɪ
سړه	s ə ɻ a
سړی	s a ɺ̢ a ɪ
سږى	s ə ɡ a ɪ
سکالو	s k ɑ l o
سکه	s a k a
سېلۍ	s e l ə i
شالي	ʃ ɑ l i
شاهد	ʃ ɑ h e d
شرمښ	ʃ ə r m ə x
شروع	ʃ ʊː r ʊː
شغال	ʃ a ɣ ɑ l
شل	ʃ ə l
شلتالو	ʃ a l t̪ ɑ l u
شمېرپوهنه	ʃ m e r p o h ə n a
شوتالو	ʃ a w t̪ ɑ l u
شوملې	ʃ o m l e
شومېر	ʃ u m e r
شونی	ʃ o n a i
شين	ʃ i n
شيګره	ʃ i ɡ a r a
شپاړس	ʃ p ɑ ɺ ˞ ə s
شپږ	ʃ p a ɡ
شپېته	ʃ p e t ə
شډل	ʃ ə ɖ ə l
طالب	t̪ ɑ l ɪ b
غالۍ	ɣ ɑ l ə i
غاړی	ɣ ɑ ɻ a i
غاښ	ɣ ɑ x
غبرګاوی	ɣ b a r ɡ ɑ w a i
غر	ɣ a r
غرڅنی	ɣ a r t͡s ə n a i
غل	ɣ a l
غلا	ɣ l ɑ
غلط	ɣ a l a t̪
غم	ɣ a m
غمجن	ɣ a m d͡ʒ a n
غمی	ɣ a l m a i
غندل	ɤ a n d̪ ə l
غنم	ɣ a n ə m
غو	ɣ o
غوا	ɣ w ɑ
غواړم	ɣ w ɑ ɺ̢ ə m
غوبه	ɣ o b a
غوره	ɣ w ə r a
غورځول	ɣ o r d͡z a w ə l
غومبه	ɣ u m b a
غونه	ɣ u n a
غونډ	ɣ w ə ŋ ɖ
غونډاری	ɣ u n ɖ ɑ r a i
غوول	ɣ o w ə l
غويی	ɣ w a j a ɪ
غوړي	ɣ w a ɺ̢ i
غوږ	ɣ w a ɡ
غوښتل	ɣ u x t ə l
غوښه	ɣ w a x a
غویي	ɣ w ə j i
غيم	ɣ ə j ə m
غيڼ	ɣ i ɳ
غټ	ɣ a ʈ
غپا	ɣ a p ɑ
غپل	ɣ a p ə l
غپول	ɣ a p a w ə l
غپېدل	ɣ a p e d ə l
غړومبل	ɣ ɺ̢ u m b ə l
غړی	ɣ ə ɽ a ɪ
غږېدل	ɣ a ɡ e d̪ ə l
غښتل	ɣ ə x t̪ ə l
غڼه	ɣ ə ɳ a
غېږ	ɣ e ɡ
فرانس	f r ɑ ŋ s
فرانسه	p r ɑ n s a
فردوس	f ɪ r d̪ a w s
قاموس	k ɑ m o s
قطر	k a t ə r
كاچوغه	k ɑ t͡ʃ o ɣ a
كره	k a r a
كوتره	k a w t̪ ə r a
لار	l ɑ r
لاريون	l ɑ r j u n
لاس	l ɑ s
لامبل	l ɑ m b ə l
لامبو	l ɑ m b o
لرغونپوهنه	l ə r ɣ u n p o h ə n a
لرل	l a r ə l
لرګی	l ə r ɡ a i
لرې	l ə r e
لس	l a s
لشه	l a ʃ a
لمانځل	l m ɑ n d͡z ə l
لمر	l a m a r
لمريز	l m a r i z
لمسول	l ə m s ə w ə l
لمسی	l m a s a i
لمن	l a m ə n
لمونځ	l m u n d͡z
لوبه	l o b a
لوبول	l o b a w ə l
لوبېدل	l o b e d ə l
لور	l o r
لوست	l w ə s t̪
لوستل	l w ə s t̪ ə l
لومړی	l u m ɺ ˞ a i
لوند	l u n d̪
لوڅ	l u t͡s
لوړ	l w a ɻ
لوړل	l o ɽ ə l
لوښي	l o ʃ i
لوی	l o i
لوېديځ	l o e d̪ i d͡z
ليدل	l i d ə l
ليکوال	l i k w ɑ l
لپاره	l a p ɑ r a
لپه	l a p a
لړم	l a ɻ a m
لړه	l ə ɽ a
لږ	l ə ɡ
لېور	l e w a r
لېونی	l e w a n a i
لېونۍ	l e w ə n ə i
لېوۀ	l e w ə
لېږل	l e ɡ ə l
مالک	m ɑ l ɪ k
مالګه	m ɑ l ɡ a
ماما	m ɑ m ɑ
ماښام	m ɑ x ɑ m
ماڼۍ	m ɑ ɳ ə i
مخوېينه	m ə x w e j ə n a
مذهب	m a z a b
مرخېړی	m a r x e ɺ̢ a i
مرستونی	m r a s t̪ u n a ɪ
مرغ	m r a ɣ
مرغه	m a r ɣ a
مرغړی	m a r ɣ a ɺ̢ a i
مرغۀ	m ə r ɣ ə
مرګ	m a r ɡ
مزری	m z a r a ɪ
مسه	m̩ s a
مشرانوجرګه	m ə ʃ ə r ɑ n o d͡ʒ a r ɡ a
مصر	m i s a r
معدن	m ɑ d̪ ə n
ملګری	m ə l ɡ ə r a i
ملګرې	m ə l ɡ ə r e
منل	m a n ə l
مننه	m ə n ɘ n ə
منو	m a n o
مني	m a n i
منټ	m ɪ n ə ʈ
منځ	m a n d z
منځنی	m ə n d͡z ə n ə i
منډه	m ə n ɖ a
مور	m o r
موسيقي	m u s i k i
موندل	m u n d̪ ə l
مونږ	m u n ɡ
موټک	m u ʈ a k
موږ	m i ʒ
موږک	m u ɡ ə k
مياشت	m j ɑ ʃ t̪
ميليون	m i l j u n
مينه	m i n a
ميېر	m j e r
مټ	m ə ʈ
مټونګى	m ə ʈ u n ɡ a i
مړه	m ə ɽ a
مړۍ	m a ɺ̢ ə i̯
مړې	m ə ɽ e
میاشت	m i ɑ ʃ t
میرزا	m i r z ɑ
مېجی	m e ʒ a i
مېخ	m e x
مېشت	m e ʃ t̪
مېشيکو	m e ʃ i k o
مېشکوړ	m e ʃ k o ɻ
مېلمه	m e l m a
مېله	m e l a
مېلوه	m e l a w a
مېچن	m e t͡ʃ ə n
مېړګی	m e ɻ ɡ a i
مېړۀ	m e ɻ ə
مېښه	m e x a
نا	n ɑ
نارنجي	n ɑ r ə n d͡ʒ i
ناسم	n ɑ s ə m
ناړولی	n ɑ ɻ a w ɘ l a i
نبي	n a b i
نجلۍ	n d ʒ ə l ə i
نرکاشه	n ə r k ɑ ʃ a
نزدې	n i z d e
نس	n a s
نسواري	n a s w ɑ r i
نشت	n ə ʃ t̪
نطفه	n ʊ t̪ f a
نمونځ	ⁿm u ŋ d͡z
ننګ	n ə ŋ ɡ
نه	n ə
نو	n o
نولس	n u l a s
نوملړ	n u m l a ɻ
نوي	n a w i
نوکغوڅی	n u k ɣ w ə t͡s a i
نوی	n ə w a i
نيا	n j ɑ
نياو	n j ɑ w
نيلي	n i l i
نيمبو	n i m b u
نيوکه	n i w ə k a
نړۍ	n ə ɽ ə i
نږدې	n i ɡ d e
نژدې	n i ʒ d e
نښتر	n ə x t̪ a r
هدف	a d ə p
هسک	h a s k
هغه	h a ɣ ə
هلته	h a l t a
هلک	h a l ə k
هماليۀ	h ɪ m ɑ l ə j ə
همېل	a m e l
هو	h o
هورې	h u r e
هوښيار	h u x j ɑ r
هوکړه	h o k ɻ a
هيله	h i l a
هڅه	h a t͡s a
هڅکه	h a t͡s k a
هګۍ	h ə ɡ ə i
هېر	e r
هېلۍ	h e l ə i
هېواد	h e w ɑ d̪
وئ	w ə i
واورتون	w ɑ w r a t̪ u n
واوره	w ɑ u̯ r a
واټ	w ɑ ʈ
واک	w ɑ k
واکمن	w ɑ k m a n
وتل	w a t̪ ə l
وخ	w a x
ودان	w ə d̪ ɑ n
ودانول	w a d ɑ n a w ə l
ور	w a r
ورشو	w a r ʃ o
ورو	w r o ʊ
وروستل	w a r w a s t ə l
ورولم	w a r w a l ə m
وريجې	w r i d͡ʒ e
وريژې	w r i ʒ e
ورځ	w r a d͡z
ورکول	w a r k a w ə l
وزير	w ə z i r
وزیرستان	w ə z i r ɪ s t̪ ɑ n
ولسوالي	w ə l ə s w ɑ l i
ولسوالۍ	w ə l ə s w ɑ l ə i
وله	w a l a
وم	w ə m
ونه	w ə n a
ووړکی	w o ɺ̢ k a i
ووړکۍ	w o ɺ̢ k ə i
ووړی	w o ɺ ˞ a i
ويده	w i d ə
ويشتل	w i ʃ t ə l
وينم	w i n ə m
وينګ	w a j a ŋ ɡ
ويه	j a j a
وييونه	w i j u n a
وييپانګه	w ə j i p ɑ ŋ ɡ a
ويی	w ə j a i
وټه	w ə ʈ a
وړ	w ə ɻ
وړوکی	w a ɺ̢ u k a i
وړيا	w ə ɻ j ɑ
وږی	w ə ɡ a i
وګړواکي	w ə ɡ ə ɻ w ɑ k i
وګړپوهنه	w ə ɡ ə ɻ p o h ə n a
وګړی	w ə ɡ ə ɻ a i
وېره	w e r a
وېرول	w e r a w ə l
وېرېدل	w e r e d ə l
وېښتان	w e ʃ t̪ ɑ n
وېښته	w e x t ə
يم	j ə m
يهک	j h a k
يو	j a w
يوم	j u m
يونی	y u n a i
يوولس	j a w o l a s
يې	j e
ټاپو	ʈ ɑ p u
ټبر	ʈ a b a r
ټماټر	ʈ a m ɑ ʈ ə r
ټنډه	ʈ ə n ɖ a
ټوپکی	ʈ u p a k a i
ټوکر	ʈ u k ə r
ټوکه	ʈ o k a
ټوکي	ʈ o k i
ټينګ	ʈ i ŋ ɡ
ټپاکی	ʈ u p ɑ k a i
پارسه	p ɑ r s a
پارسیوان	p ɑ r s i w ɑ n
پامدور	p ɑ m a d̪ o r
پايله	p ɑ i l a
پايول	p ɑ y a w ə l
پاړو	p ɑ ɻ u
پاکستان	p ɑ k ɪ s t̪ ɑ n
پاڼه	p ɑ ɳ a
پت	p a t̪
پتخ	p a t a x
پتخه	p a t̪ ə x a
پتنګ	p a t̪ a ŋ ɡ
پخلی	p ə x l a i̯
پخول	p a x a w ə l
پخېدل	p ə x e d ə l
پرتله	p a r t̪ a l a
پرتوګ	p a r t̪ u ɡ
پروت	p r o t̪
پروړه	p r o ɻ a
پرېز	p a r e z
پرېکړه	p r e k ɻ a
پسرلی	p ə s ə r l a i
پسهٔ	p s ə
پسې	p ə s e
پشۍ	p ə ʃ ə i̯
پلاز	p l ɑ z
پلازمېنه	p l ɑ z m e n a
پلاله	p a l ɑ l a
پلم	p ɪ l m
پلورل	p l o r ə l
پمنکی	p a m a n k a ɪ
پنير	p a n i r
پنځلس	p i n d z ə l a s
پنځه	p i n d z ə
پنځوس	p ə n d z o s
پنځپوهنه	p ə ŋ d͡z p o h ə n a
پنډوس	p ə n ɖ u s
په	p ə
پوخ	p o ʊ x
پوله	p u l a
پوليس	p o l i s
پونده	p u n d a
پوه	p o h
پوهاند	p o h ɑ n d
پوهنتون	p o h a n t̪ u n
پوهنه	p o h ə n a
پوهېدل	p o h e d ə l
پوهېږي	p o h e ɡ i
پوڅه	p o t͡s a
پوښتنه	p o x t̪ ə n a
پيسې	p a i s e
پيشو	p i ʃ o
پيل	p a ɪ l
پړانګ	p ɽ ɑ ŋ ɡ
پړسوب	p a ɻ s o b
پښتنه	p a x t̪ a n a
پښتو	p a ç t̪ o
پښتون	p a x t̪ u n
پښه	p x a
پکان	p a k ɑ n
پیل	p i l
پې	p e
پېرل	p e r ə l
پېړۍ	p e ɻ ə i
ځار	d͡z ɑ r
ځان	d z ɑ n
ځای	d͡z i
ځغستل	d͡z ɣ ə s t ə l
ځغلم	d z ɣ ə l ə m
ځغلول	d z ɣ ə l a w ə l
ځل	d͡z ə l
ځلمی	z ɘ l m ɑ i
ځم	d z ə m
ځمکپوهنه	d͡z m ə k p o h ə n a
ځنډ	d z a n ɖ
ځنګل	d͡z ə ŋ ɡ ə l
ځوان	d͡z w ɑ n
ځواک	d͡z w ɑ k
ځيرک	d͡z i r a k
ځينې	d z i n e
ځکه	d͡z ə k a
ځی	d͡z a i
ځیږ	z i ɡ
ځې	d͡z e
ځېل	d͡z e l
څادر	t͡s ɑ d̪ a r
څارونکى	t͡s ɑ r u n k a ɪ ɪ
څاروى	t͡s ɑ r w a ɪ
څاوار	t͡s ɑ w ɑ r
څاپېړه	t͡s ɑ p e ɽ a
څاښکه	s ɑ x k a
څرخول	t s a r x a w ə l
څرګند	t͡s ə r ɡ ə ŋ d̪
څلور	t͡s a l o r
څلوېښت	t s a l w e x t
څنډه	t s ə n ɖ a
څنګ	t s a n ɡ
څنګل	t͡s ə ŋ ɡ ə l
څوارلس	t s w ɑ r l a s
څومره	t͡s u m r a
څونوټ	t͡s o n o ʈ
څوک	t͡s o k
څټک	t͡s a ʈ a k
څپلۍ	t͡s a p l ə i
څپېړه	t͡s a p e ɽ a
څښاک	t͡s x ɑ k
څکل	t s k a l
څکه	t͡s ə k a
څېره	t s e r a
څېړنه	t͡s e ɻ ə n a
چاينک	t͡ʃ ɑ i n ə k
چای	t͡ʃ ɑ i
چورلکه	t͡ʃ u r l ə k a
چوپړ	t͡ʃ o p ə ɻ
چوڼيا	t͡ʃ u ɳ j ɑ
چيچل	t ʃ i t ʃ ə l
ډانډ	ɖ ɑ ŋ ɖ
ډاکو	ɖ ɑ k u
ډبل	ɖ a b ə l
ډز	ɖ a z
ډله	ɖ a l a
ډنډ	ɖ a n ɖ
ډنګر	ɖ a ŋ ɡ ə r
ډول	ɖ a w l
ډولي	ɖ ə ʊ l i
ډوډۍ	ɖ o ɖ ə i
ډک	ɖ a k
ډګه	ɖ a ɡ a
ډېر	ɖ e r
ړومبی	ɺ ˞ u m b a i
ړوند	ɽ u n d
ږغېدل	ʐ a ɣ e d ə l
ږمنځ	ɡ ə m ə n z
ژامه	ʒ ɑ m a
ژباړل	ʒ b ɑ ɻ ə l
ژبه	ʒ ə b ə
ژبپوهنه	ʒ ə b p o h ə n a
ژبکۍ	ʒ a b a k ə i
ژرنده	d͡ʒ r a n d̪ a
ژور	d͡ʒ a w a r
ژوند	ʒ w ə n d̪
ژوندينکه	ʒ w a n d̪ i n a k a
ژوندپوهنه	ʒ w a n d p o h ə n a
ژوندی	ʒ w ə n d̪ a i
ژونکه	ʒ w a n a k a
ژوپوهنه	ʒ o p o h ə n a
ژګاګ	ʒ ɪ ɡ ɑ ɡ
ژېړ	z j a ɻ
ښار	x ɑ r
ښارو	x ɑ r o
ښاغلی	x ɑ ɣ ə l a i
ښامار	x ɑ m ɑ r
ښايي	x ɑ y i
ښه	x a
ښوونځی	x o w ə n z a i
ښوونکی	x o w u n k a ɪ
ښوونکې	x o w u n k e
ښځه	x ə d͡z a
ښځينه	x ə z i n a
ښکار	x k ɑ r
ښکاره	x k ɑ r a
ښکلی	x k w ə l a i
ښکنځل	x k ə n d͡z ə l
ښۀ	x ə
کابل	k ɑ b ə l
کال	k ɑ l
کالنی	k ɑ l a n a i
کالي	k ɑ l i
کاپيوره	k ɑ p i w a r a
کاګل	k ɑ ɡ ə l
کب	k a b
کتاب	k i t̪ ɑ b
کتل	k a t ə l
کرټ	k r ə ʈ
کرکره	k a r k a r a
کسم	k ə s ə m
کلتور	k ʊ l t̪ u r
کله	k ɘ l a
کلک	k l a k
کلکوالى	k l a k w ɑ l a ɪ
کلی	k ə l a ɪ
کندهار	k a n d̪ a h ɑ r
کنوه	k ɪ n w a
کنګال	k a n ɡ ɑ l
که	k ə
کوبا	k u b ɑ
کور	k o r
کوربه	k o r b a
کورنۍ	k o r a n ə i̯
کوس	k w ə s
کول	k a w ə l
کومی	k u m a i
کونه	k w ə n a
کونړ	k u n a ɻ
کونګرى	k u n ɡ r a ɪ
کوټ	k o ʈ
کوټه	k o ʈ a
کوچنی	k u t͡ʃ n a i
کوڼ	k u ɳ
کړ	k ə ɻ
کړه	k ɻ ə
کښې	k x e
کینخي	k i n a x i
کې	k e
کېدل	k e d ə l
ګام	ɡ ɑ m
ګاډی	ɡ ɑ ɖ a ɪ
ګاڼه	ɡ ɑ ɳ a
ګبين	ɡ a b i n
ګرد	ɡ ə r d
ګردی	ɡ ə r d̪ a i
ګرمي	ɡ a r m i
ګروه	ɡ r o h
ګرځول	ɡ ə r d͡z a w ə l
ګرځېدل	ɡ ə r d͡z e d̪ ə l
ګل	ɡ w ə l
ګلابي	ɡ w ə l ɑ b i
ګنده	s x ɑ
ګنډل	ɡ a n ɖ ə l
ګهيځ	ɡ ə h i d͡z
ګودر	ɡ u d̪ a r
ګورل	ɡ o r ə l
ګورم	ɡ o r ə m
ګوړه	ɡ w ə ɽ a
ګيټۍ	ɡ i ʈ ə i
ګټل	ɡ a ʈ ə l
ګټه	ɡ ə ʈ a
ګډون	ɡ a ɖ u n
ګډی	ɡ ə ɖ a ɪ
ګډېدل	ɡ a ɖ e d ə l
ګړدود	ɡ ə ɻ d̪ o d̪
ګړندی	ɡ ə ɺ̢ a n ɖ a i
ګڼ	ɡ a ɳ
ګڼل	ɡ a ɳ ə l
ګېنډی	ɡ e n ɖ a ɪ
ګېډه	ɡ e ɖ a
